Date : 2023-10-22 21:41:31
Directory : d:\Coding\Learn
Total : 133 files,  3837 codes, 427 comments, 579 blanks, all 4843 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |         82 |      2,528 |        381 |        422 |      3,331 |
| C               |         37 |        731 |         44 |         84 |        859 |
| HTML            |          8 |        274 |          0 |         14 |        288 |
| Markdown        |          2 |        247 |          0 |         53 |        300 |
| C++             |          2 |         36 |          0 |          5 |         41 |
| CSS             |          1 |         18 |          0 |          0 |         18 |
| Java Properties |          1 |          3 |          2 |          1 |          6 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |        133 |      3,837 |        427 |        579 |      4,843 |
| . (Files)                                                                            |          1 |          1 |          0 |          0 |          1 |
| C                                                                                    |         40 |        791 |         44 |         90 |        925 |
| C (Files)                                                                            |          2 |         29 |          0 |          2 |         31 |
| C\BuildYourOwnLisp                                                                   |          4 |         95 |          6 |         22 |        123 |
| C\CourseWork                                                                         |          4 |         56 |          0 |          2 |         58 |
| C\PTA                                                                                |          1 |         33 |          6 |          4 |         43 |
| C\TheCProgrammingLanguage                                                            |          8 |         94 |          6 |         11 |        111 |
| C\TheCProgrammingLanguage\charpter1                                                  |          8 |         94 |          6 |         11 |        111 |
| C\darkhouse                                                                          |         12 |        201 |          6 |         22 |        229 |
| C\darkhouse (Files)                                                                  |          7 |         77 |          1 |         14 |         92 |
| C\darkhouse\examples                                                                 |          5 |        124 |          5 |          8 |        137 |
| C\games                                                                              |          1 |         34 |          0 |          2 |         36 |
| C\include                                                                            |          2 |         95 |          3 |         12 |        110 |
| C\luogu                                                                              |          1 |         24 |          0 |          1 |         25 |
| C\others                                                                             |          5 |        130 |         17 |         12 |        159 |
| Java                                                                                 |         92 |      3,045 |        383 |        489 |      3,917 |
| Java (Files)                                                                         |          3 |        290 |          0 |         57 |        347 |
| Java\JavaWeb                                                                         |          9 |        292 |          0 |         14 |        306 |
| Java\JavaWeb\HTML                                                                    |          9 |        292 |          0 |         14 |        306 |
| Java\JavaWeb\HTML (Files)                                                            |          4 |        151 |          0 |          8 |        159 |
| Java\JavaWeb\HTML\BoxModel                                                           |          1 |         23 |          0 |          2 |         25 |
| Java\JavaWeb\HTML\SrunLogin                                                          |          2 |         33 |          0 |          1 |         34 |
| Java\JavaWeb\HTML\SrunLogin (Files)                                                  |          1 |         15 |          0 |          1 |         16 |
| Java\JavaWeb\HTML\SrunLogin\css                                                      |          1 |         18 |          0 |          0 |         18 |
| Java\JavaWeb\HTML\XLNewsWebsite                                                      |          1 |         61 |          0 |          3 |         64 |
| Java\JavaWeb\HTML\vue.js                                                             |          1 |         24 |          0 |          0 |         24 |
| Java\basic_syntax                                                                    |         21 |        557 |        129 |        104 |        790 |
| Java\basic_syntax (Files)                                                            |          2 |         55 |          0 |         13 |         68 |
| Java\basic_syntax\ArrayLearn                                                         |          1 |         35 |          8 |          5 |         48 |
| Java\basic_syntax\DataTypesAndOperators                                              |          5 |        105 |         23 |         28 |        156 |
| Java\basic_syntax\FlowControl                                                        |          5 |         79 |         28 |         18 |        125 |
| Java\basic_syntax\Function                                                           |          1 |         81 |          1 |         10 |         92 |
| Java\basic_syntax\ProgramCase                                                        |          7 |        202 |         69 |         30 |        301 |
| Java\examples                                                                        |         18 |        887 |         70 |        140 |      1,097 |
| Java\java_advanced                                                                   |         39 |        965 |        184 |        164 |      1,313 |
| Java\java_advanced (Files)                                                           |          4 |         76 |          3 |         11 |         90 |
| Java\java_advanced\AWT                                                               |          2 |         25 |          0 |          5 |         30 |
| Java\java_advanced\Mltithreading                                                     |          3 |        184 |         38 |         27 |        249 |
| Java\java_advanced\NetworkProgram                                                    |          8 |        160 |         11 |         25 |        196 |
| Java\java_advanced\NetworkProgram (Files)                                            |          1 |         14 |          5 |          3 |         22 |
| Java\java_advanced\NetworkProgram\BS                                                 |          1 |         40 |          6 |          3 |         49 |
| Java\java_advanced\NetworkProgram\TCP                                                |          2 |         31 |          0 |          6 |         37 |
| Java\java_advanced\NetworkProgram\UDP                                                |          4 |         75 |          0 |         13 |         88 |
| Java\java_advanced\class                                                             |          8 |        211 |         40 |         57 |        308 |
| Java\java_advanced\collection                                                        |          6 |         96 |         79 |         16 |        191 |
| Java\java_advanced\generic                                                           |          3 |         42 |          1 |          9 |         52 |
| Java\java_advanced\io                                                                |          5 |        171 |         12 |         14 |        197 |
| Java\thinking_in_java                                                                |          2 |         54 |          0 |         10 |         64 |
| Java\thinking_in_java\polymorphism                                                   |          2 |         54 |          0 |         10 |         64 |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                             | language        | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| d:\Coding\Learn\C\BuildYourOwnLisp\doge_code.c                                       | C               |         17 |          0 |          2 |         19 |
| d:\Coding\Learn\C\BuildYourOwnLisp\doge_grammar.c                                    | C               |         19 |          0 |          2 |         21 |
| d:\Coding\Learn\C\BuildYourOwnLisp\interactive.c                                     | C               |         12 |          0 |          3 |         15 |
| d:\Coding\Learn\C\BuildYourOwnLisp\parsing.c                                         | C               |         47 |          6 |         15 |         68 |
| d:\Coding\Learn\C\CourseWork\calCarSpeed.c                                           | C               |         20 |          0 |          0 |         20 |
| d:\Coding\Learn\C\CourseWork\calFractions.c                                          | C               |         10 |          0 |          1 |         11 |
| d:\Coding\Learn\C\CourseWork\formatInfo.c                                            | C               |         18 |          0 |          0 |         18 |
| d:\Coding\Learn\C\CourseWork\processDate.c                                           | C               |          8 |          0 |          1 |          9 |
| d:\Coding\Learn\C\PTA\6-9.c                                                          | C               |         33 |          6 |          4 |         43 |
| d:\Coding\Learn\C\TheCProgrammingLanguage\charpter1\MultiplicationTable.c            | C               |         13 |          0 |          2 |         15 |
| d:\Coding\Learn\C\TheCProgrammingLanguage\charpter1\arr.c                            | C               |         23 |          0 |          2 |         25 |
| d:\Coding\Learn\C\TheCProgrammingLanguage\charpter1\const.c                          | C               |          9 |          0 |          2 |         11 |
| d:\Coding\Learn\C\TheCProgrammingLanguage\charpter1\countString.c                    | C               |          8 |          0 |          1 |          9 |
| d:\Coding\Learn\C\TheCProgrammingLanguage\charpter1\countWords.c                     | C               |         21 |          0 |          2 |         23 |
| d:\Coding\Learn\C\TheCProgrammingLanguage\charpter1\hello.c                          | C               |          5 |          0 |          1 |          6 |
| d:\Coding\Learn\C\TheCProgrammingLanguage\charpter1\output.c                         | C               |          7 |          6 |          0 |         13 |
| d:\Coding\Learn\C\TheCProgrammingLanguage\charpter1\printPrecision.c                 | C               |          8 |          0 |          1 |          9 |
| d:\Coding\Learn\C\darkhouse\array.c                                                  | C               |         20 |          1 |          3 |         24 |
| d:\Coding\Learn\C\darkhouse\char.c                                                   | C               |          7 |          0 |          1 |          8 |
| d:\Coding\Learn\C\darkhouse\examples\a.c                                             | C               |         33 |          0 |          6 |         39 |
| d:\Coding\Learn\C\darkhouse\examples\b.c                                             | C               |         18 |          0 |          0 |         18 |
| d:\Coding\Learn\C\darkhouse\examples\delStr.c                                        | C               |         23 |          0 |          0 |         23 |
| d:\Coding\Learn\C\darkhouse\examples\nameLists.c                                     | C               |         30 |          0 |          1 |         31 |
| d:\Coding\Learn\C\darkhouse\examples\replaceStr.c                                    | C               |         20 |          5 |          1 |         26 |
| d:\Coding\Learn\C\darkhouse\floatNum.c                                               | C               |         10 |          0 |          1 |         11 |
| d:\Coding\Learn\C\darkhouse\integer.c                                                | C               |         19 |          0 |          2 |         21 |
| d:\Coding\Learn\C\darkhouse\randomNum.c                                              | C               |          4 |          0 |          2 |          6 |
| d:\Coding\Learn\C\darkhouse\typeConvert.c                                            | C               |          7 |          0 |          1 |          8 |
| d:\Coding\Learn\C\darkhouse\variable.c                                               | C               |         10 |          0 |          4 |         14 |
| d:\Coding\Learn\C\games\ball.c                                                       | C               |         34 |          0 |          2 |         36 |
| d:\Coding\Learn\C\include\SeqList.c                                                  | C               |         76 |          3 |          8 |         87 |
| d:\Coding\Learn\C\include\SeqList.h                                                  | C++             |         19 |          0 |          4 |         23 |
| d:\Coding\Learn\C\luogu\P1003.java                                                   | Java            |         24 |          0 |          1 |         25 |
| d:\Coding\Learn\C\others\dataTable.c                                                 | C               |         20 |          0 |          3 |         23 |
| d:\Coding\Learn\C\others\functionPointer.c                                           | C               |         40 |         11 |          5 |         56 |
| d:\Coding\Learn\C\others\maxmin.c                                                    | C               |         24 |          0 |          2 |         26 |
| d:\Coding\Learn\C\others\pointerInArray.c                                            | C               |         31 |          6 |          1 |         38 |
